Lat,Lng
33.2588817,-86.8295337
64.4459613,-149.680909
34.395342,-111.7632755
35.2048883,-92.4479108
36.7014631,-118.7559974
38.7251776,-105.6077167
41.6500201,-72.7342163
38.6920451,-75.4013315
27.7567667,-81.4639835
32.8406946,-83.6324022
21.2160437,-157.975203
43.6447642,-114.0154071
40.0796606,-89.4337288
40.3270127,-86.1746933
41.9216734,-93.3122705
38.27312,-98.5821872
37.5726028,-85.1551411
30.8703881,-92.007126
45.709097,-68.8590201
39.5162234,-76.9382069
42.3788774,-72.032366
43.6211955,-84.6824346
45.9896587,-94.6113288
32.9715645,-89.7348497
38.7604815,-92.5617875
47.3752671,-109.6387579
41.7370229,-99.5873816
39.5158825,-116.8537227
43.4849133,-71.6553992
40.0757384,-74.4041622
34.5708167,-105.993007
40.7127281,-74.0060152
35.6729639,-79.0392919
47.6201461,-100.540737
40.2253569,-82.6881395
34.9550817,-97.2684063
43.9792797,-120.737257
40.9699889,-77.7278831
41.7962409,-71.5992372
33.6874388,-80.4363743
44.6471761,-100.348761
35.7730076,-86.2820081
31.8160381,-99.5120986
39.4225192,-111.7143584
44.5990718,-72.5002608
37.1232245,-78.4927721
46.601557,-120.5108421
38.4758406,-80.8408415
44.4308975,-89.6884637
43.1700264,-107.5685348
